Ί - [0x0000000406][0x0000000311]  /Iotatonos 
Ό - [0x0000000408][0x0000000312]  /Omicrontonos 
Ύ - [0x000000040A][0x0000000313]  /Upsilontonos 
Ώ - [0x000000040B][0x0000000314]  /Omegatonos 
ΐ - [0x000000040C][0x00000003AE]  /iotadieresistonos 
Α - [0x000000040D][0x00000002E4]  /Alpha 
Β - [0x000000040E][0x00000002E5]  /Beta 
Γ - [0x0000000410][0x00000002E6]  /Gamma 
Δ - [0x0000000411][0x00000002E7]  /uni0394 
Ε - [0x0000000412][0x00000002E8]  /Epsilon 
Ζ - [0x0000000413][0x00000002E9]  /Zeta 
Η - [0x0000000414][0x00000002EA]  /Eta 
Θ - [0x0000000415][0x00000002EB]  /Theta 
Ι - [0x0000000416][0x00000002EC]  /Iota 
Κ - [0x0000000417][0x00000002ED]  /Kappa 
Λ - [0x0000000418][0x00000002EE]  /Lambda 
Μ - [0x0000000419][0x0000000300]  /Mu 
Ν - [0x000000041A][0x0000000301]  /Nu 
Ξ - [0x000000041B][0x0000000302]  /Xi 
Ο - [0x000000041C][0x0000000303]  /Omicron 
Π - [0x000000041D][0x0000000304]  /Pi 
Ρ - [0x000000041E][0x0000000305]  /Rho 
Σ - [0x0000000421][0x0000000306]  /Sigma 
Τ - [0x0000000422][0x0000000307]  /Tau 
Υ - [0x0000000423][0x0000000308]  /Upsilon 
Φ - [0x0000000424][0x0000000309]  /Phi 
Χ - [0x0000000425][0x000000030A]  /Chi 
Ψ - [0x0000000426][0x000000030B]  /Psi 
Ω - [0x0000000427][0x000000030C]  /uni03A9 
Ϊ - [0x0000000428][0x0000000315]  /Iotadieresis 
Ϋ - [0x0000000429][0x0000000316]  /Upsilondieresis 
ά - [0x000000042A][0x00000003B5]  /alphatonos 
έ - [0x000000042B][0x00000003B6]  /epsilontonos 
ή - [0x000000042C][0x00000003B7]  /etatonos 
ί - [0x000000042D][0x00000003AC]  /iotatonos 
ΰ - [0x000000042E][0x00000003B2]  /upsilondieresistonos 
α - [0x0000000430][0x0000000392]  /alpha 
β - [0x0000000431][0x0000000393]  /beta 
γ - [0x0000000432][0x0000000394]  /gamma 
δ - [0x0000000433][0x0000000395]  /delta 
ε - [0x0000000434][0x0000000396]  /epsilon 
ζ - [0x0000000435][0x0000000397]  /zeta 
η - [0x0000000436][0x0000000398]  /eta 
θ - [0x0000000437][0x0000000399]  /theta 
ι - [0x0000000438][0x000000039A]  /iota 
κ - [0x0000000439][0x000000039B]  /kappa 
λ - [0x000000043A][0x000000039C]  /lambda 
μ - [0x000000043B][0x000000039D]  /uni03BC 
ν - [0x000000043C][0x000000039E]  /nu 
ξ - [0x000000043D][0x00000003A0]  /xi 
ο - [0x000000043E][0x00000003A1]  /omicron 
π - [0x0000000440][0x00000003A2]  /pi 
ρ - [0x0000000441][0x00000003A3]  /rho 
ς - [0x0000000442][0x00000003A4]  /uni03C2 
σ - [0x0000000443][0x00000003A5]  /sigma 
τ - [0x0000000444][0x00000003A6]  /tau 
υ - [0x0000000445][0x00000003A7]  /upsilon 
φ - [0x0000000446][0x00000003A8]  /phi 
χ - [0x0000000447][0x00000003A9]  /chi 
ψ - [0x0000000448][0x00000003AA]  /psi 
ω - [0x0000000449][0x00000003AB]  /omega 
ϊ - [0x000000044A][0x00000003AD]  /iotadieresis 
ϋ - [0x000000044B][0x00000003B1]  /upsilondieresis 
ό - [0x000000044C][0x00000003B3]  /omicrontonos 
ύ - [0x000000044D][0x00000003B0]  /upsilontonos 
ώ - [0x000000044E][0x00000003B4]  /omegatonos 
Ϗ - [0x0000000450][0x0000000320]  /uni03CF 
ϐ - [0x0000000451][0x00000003C5]  /uni03D0 
ϑ - [0x0000000452][0x00000003C6]  /uni03D1 
ϒ - [0x0000000453][0x0000000321]  /uni03D2 
ϓ - [0x0000000454][0x0000000322]  /uni03D3 
ϔ - [0x0000000455][0x0000000323]  /uni03D4 
ϕ - [0x0000000456][0x00000003C7]  /uni03D5 
ϖ - [0x0000000457][0x00000003C8]  /uni03D6 
ϗ - [0x0000000458][0x00000003C4]  /uni03D7 
Ϙ - [0x0000000459][0x000000031A]  /uni03D8 
ϙ - [0x000000045A][0x00000003BE]  /uni03D9 
Ϛ - [0x000000045B][0x000000031B]  /uni03DA 
ϛ - [0x000000045C][0x00000003C0]  /uni03DB 
Ϝ - [0x000000045D][0x000000031C]  /uni03DC 
ϝ - [0x000000045E][0x00000003C1]  /uni03DD 
Ϟ - [0x0000000460][0x000000031D]  /uni03DE 
ϟ - [0x0000000461][0x00000003C2]  /uni03DF 
Ϡ - [0x0000000462][0x000000031E]  /uni03E0 
ϡ - [0x0000000463][0x00000003C3]  /uni03E1 
ϰ - [0x0000000473][0x00000003C9]  /uni03F0 
ϱ - [0x0000000474][0x00000003CA]  /uni03F1 
ϲ - [0x0000000475][0x00000003CB]  /uni03F2 
ϳ - [0x0000000476][0x00000003CC]  /uni03F3 
ϴ - [0x0000000477][0x0000000324]  /uni03F4 
ϵ - [0x0000000478][0x00000003CD]  /uni03F5 
϶ - [0x0000000479][0x00000005AD]  /uni03F6 
Ϸ - [0x000000047A][0x0000000325]  /uni03F7 
ϸ - [0x000000047B][0x00000003CE]  /uni03F8 
Ϲ - [0x000000047C][0x0000000326]  /uni03F9 
Ϻ - [0x000000047D][0x0000000327]  /uni03FA 
ϻ - [0x000000047E][0x00000003D0]  /uni03FB 
ϼ - [0x0000000480][0x00000003D1]  /uni03FC 
Ͻ - [0x0000000481][0x0000000328]  /uni03FD 
Ͼ - [0x0000000482][0x0000000329]  /uni03FE 
Ͽ - [0x0000000483][0x000000032A]  /uni03FF 
Ѐ - [0x0000000484][0x00000001AB]  /uni0400 
Ё - [0x0000000485][0x00000001AC]  /uni0401 
Ђ - [0x0000000486][0x00000001D7]  /uni0402 
Ѓ - [0x0000000487][0x00000001A4]  /uni0403 
Є - [0x0000000488][0x00000001CE]  /uni0404 
Ѕ - [0x0000000489][0x00000001CD]  /uni0405 
І - [0x000000048A][0x00000001D1]  /uni0406 
Ї - [0x000000048B][0x00000001D2]  /uni0407 
Ј - [0x000000048C][0x00000001D3]  /uni0408 
Љ - [0x000000048D][0x00000001CB]  /uni0409 
Њ - [0x000000048E][0x00000001CC]  /uni040A 
Ћ - [0x0000000490][0x00000001D4]  /uni040B 
Ќ - [0x0000000491][0x00000001B5]  /uni040C 
Ѝ - [0x0000000492][0x00000001B2]  /uni040D 
Ў - [0x0000000493][0x00000001C0]  /uni040E 
Џ - [0x0000000494][0x00000001C7]  /uni040F 
А - [0x0000000495][0x00000001A0]  /uni0410 
Б - [0x0000000496][0x00000001A1]  /uni0411 
В - [0x0000000497][0x00000001A2]  /uni0412 
Г - [0x0000000498][0x00000001A3]  /uni0413 
Д - [0x0000000499][0x00000001A9]  /uni0414 
Е - [0x000000049A][0x00000001AA]  /uni0415 
Ж - [0x000000049B][0x00000001AD]  /uni0416 
З - [0x000000049C][0x00000001AE]  /uni0417 
И - [0x000000049D][0x00000001B0]  /uni0418 
Й - [0x000000049E][0x00000001B1]  /uni0419 
К - [0x00000004A0][0x00000001B4]  /uni041A 
Л - [0x00000004A1][0x00000001B6]  /uni041B 
М - [0x00000004A2][0x00000001B7]  /uni041C 
Н - [0x00000004A3][0x00000001B8]  /uni041D 
О - [0x00000004A4][0x00000001B9]  /uni041E 
П - [0x00000004A5][0x00000001BA]  /uni041F 
Р - [0x00000004A6][0x00000001BB]  /uni0420 
